t_unix,ts_us,scan_count,watchdog_tripped,devices_healthy
1788834589,238835894,119409,0,1
1788834590,239849251,119916,0,1
1788834591,240859457,120421,0,1
1788834592,241869404,120926,0,1
1788834593,242879554,121431,0,1
1788834594,243891771,121937,0,1
1788834595,244901334,122442,0,1
1788834596,245913741,122948,0,1
1788834597,246925405,123454,0,1
1788834598,247933562,123958,0,1
1788834599,248941960,124462,0,1
1788834600,249953221,124968,0,1
1788834601,250961409,125472,0,1
1788834602,251969629,125976,0,1
1788834603,252979643,126481,0,1
1788834604,253991714,126987,0,1
1788834605,255001784,127492,0,1
1788834606,256011698,127997,0,1
1788834607,257023126,128503,0,1
1788834608,258029642,129006,0,1
1788834609,259043127,129513,0,1
1788834610,260049466,130016,0,1
1788834611,261057484,130520,0,1
1788834612,262065579,131024,0,1
1788834613,263077243,131530,0,1
1788834614,264089937,132036,0,1
1788834615,265101256,132542,0,1
1788834616,266113825,133048,0,1
1788834617,267121505,133552,0,1
1788834619,268131383,134057,0,1
1788834620,269143654,134563,0,1
1788834621,270151855,135067,0,1
1788834622,271161081,135572,0,1
1788834623,272171841,136077,0,1
1788834624,273182020,136582,0,1
1788834625,274193438,137088,0,1
1788834626,275201505,137592,0,1
1788834627,276211966,138097,0,1
1788834628,277319457,138651,0,1
1788834629,278325664,139154,0,1
1788834630,279335203,139659,0,1
1788834631,280341753,140162,0,1
1788834632,281351642,140667,0,1
1788834633,282365387,141174,0,1
1788834634,283381460,141682,0,1
1788834635,284387196,142185,0,1
1788834636,285393189,142688,0,1
1788834637,286399381,143191,0,1
1788834638,287407660,143695,0,1
1788834639,288413794,144198,0,1
1788834640,289421919,144702,0,1
1788834641,290429918,145206,0,1
1788834642,291439659,145711,0,1
1788834643,292449996,146216,0,1
1788834644,293461765,146722,0,1
1788834645,294472007,147227,0,1
1788834646,295487387,147735,0,1
1788834647,296499385,148241,0,1
1788834648,297511739,148747,0,1
1788834649,298521962,149252,0,1
1788834650,299533510,149758,0,1
1788834651,300545588,150264,0,1
1788834652,301559311,150771,0,1
1788834653,302569761,151276,0,1
1788834654,303579606,151781,0,1
1788834655,304591361,152287,0,1
1788834656,305601828,152792,0,1
1788834657,306611992,153297,0,1
1788834658,307621689,153802,0,1
1788834659,308629315,154306,0,1
1788834660,309639375,154811,0,1
1788834661,310653363,155318,0,1
1788834662,311667658,155825,0,1
1788834663,312678063,156330,0,1
1788834664,313687849,156835,0,1
1788834665,314701673,157342,0,1
1788834666,315711510,157847,0,1
1788834667,316723252,158353,0,1
1788834668,317731443,158857,0,1
1788834669,318743171,159363,0,1
1788834670,319755749,159869,0,1
1788834671,320765375,160374,0,1
1788834672,321771326,160877,0,1
1788834673,322777315,161380,0,1
1788834674,323787257,161885,0,1
1788834675,324795757,162389,0,1
1788834676,325803510,162893,0,1
1788834677,326809343,163396,0,1
1788834678,327819172,163901,0,1
1788834679,328831868,164407,0,1
1788834680,329841908,164912,0,1
1788834681,330851841,165417,0,1
1788834682,331863901,165923,0,1
1788834683,332875323,166429,0,1
1788834684,333883377,166933,0,1
1788834685,334889958,167436,0,1
1788834686,335901604,167942,0,1
1788834687,336913379,168448,0,1
1788834688,337919603,168951,0,1
1788834689,338927160,169455,0,1
1788834690,339931574,169957,0,1
1788834691,340939254,170461,0,1
1788834692,341945706,170964,0,1
1788834693,342959328,171471,0,1
1788834694,343971908,171977,0,1
1788834695,344983321,172483,0,1
1788834696,346093471,173038,0,1
1788834697,347103444,173543,0,1
1788834698,348111589,174047,0,1
1788834699,349119125,174551,0,1
1788834700,350127779,175055,0,1
1788834701,351137732,175560,0,1
1788834702,352149152,176066,0,1
1788834703,353159716,176571,0,1
1788834704,354169454,177076,0,1
1788834705,355179337,177581,0,1
1788834706,356187257,178085,0,1
1788834708,357193462,178588,0,1
1788834709,358201616,179092,0,1
1788834710,359211378,179597,0,1
1788834711,360221594,180102,0,1
1788834712,361235546,180609,0,1
1788834713,362249781,181116,0,1
1788834714,363261646,181622,0,1
1788834715,364269316,182126,0,1
1788834716,365275754,182629,0,1
1788834717,366291803,183137,0,1
1788834718,367303939,183643,0,1
1788834719,368317268,184150,0,1
1788834720,369323894,184653,0,1
1788834721,370331124,185157,0,1
1788834722,371337694,185660,0,1
1788834723,372343953,186163,0,1
1788834724,373349710,186666,0,1
1788834725,374355515,187169,0,1
1788834726,375363705,187673,0,1
1788834727,376371126,188177,0,1
1788834728,377377319,188680,0,1
1788834729,378391786,189187,0,1
1788834730,379405844,189694,0,1
1788834731,380417772,190200,0,1
1788834732,381429716,190706,0,1
1788834733,382439579,191211,0,1
1788834734,383449680,191716,0,1
1788834735,384463463,192223,0,1
1788834736,385473575,192728,0,1
1788834737,386483620,193233,0,1
1788834738,387497480,193740,0,1
1788834739,388507164,194245,0,1
1788834740,389517432,194750,0,1
1788834741,390530030,195256,0,1
1788834742,391543055,195763,0,1
1788834743,392553982,196268,0,1
1788834744,393567782,196775,0,1
1788834745,394577553,197280,0,1
1788834746,395591473,197787,0,1
1788834747,396603809,198293,0,1
1788834748,397613327,198798,0,1
1788834749,398623712,199303,0,1
1788834750,399631384,199807,0,1
