ts_us,scan_count,devices_healthy
86839956,43411,1
87043267,43513,1
87245534,43614,1
87447809,43715,1
87651163,43817,1
87853635,43918,1
88055803,44019,1
88257844,44120,1
88459737,44221,1
88661803,44322,1
88865219,44424,1
89067163,44525,1
89369799,44676,1
89571693,44777,1
89773900,44878,1
89977031,44980,1
90179030,45081,1
90381183,45182,1
90583436,45283,1
90785913,45384,1
90989211,45486,1
91191504,45587,1
91393940,45688,1
91597095,45790,1
91797777,45890,1
91999976,45991,1
92203363,46093,1
92405428,46194,1
92709387,46346,1
92911332,46447,1
93113961,46548,1
93317309,46650,1
93521328,46752,1
93721733,46852,1
93925665,46954,1
94127496,47055,1
94329903,47156,1
94533346,47258,1
94735557,47359,1
94937758,47460,1
95141394,47562,1
95343773,47663,1
95545886,47764,1
95747466,47865,1
96051599,48017,1
96255219,48119,1
96457933,48220,1
96661030,48322,1
96863229,48423,1
97065516,48524,1
97267567,48625,1
97471344,48727,1
97675094,48829,1
97877441,48930,1
98079600,49031,1
98281239,49132,1
98485069,49234,1
98687440,49335,1
98889309,49436,1
99091364,49537,1
99393611,49688,1
99595849,49789,1
99797240,49890,1
99999239,49991,1
100201665,50092,1
100405282,50194,1
100607098,50295,1
100809461,50396,1
101011634,50497,1
101213837,50598,1
101417220,50700,1
101619437,50801,1
101821576,50902,1
102023745,51003,1
102225964,51104,1
102429948,51206,1
102633767,51308,1
102939384,51461,1
103141708,51562,1
103343897,51663,1
103547677,51765,1
103751966,51867,1
103953723,51968,1
104157680,52070,1
104361242,52172,1
104563237,52273,1
104765662,52374,1
104969385,52476,1
105171534,52577,1
105375560,52679,1
105577859,52780,1
105781296,52882,1
105983238,52983,1
106185415,53084,1
106387496,53185,1
106691497,53337,1
106893572,53438,1
107097167,53540,1
107299641,53641,1
107503058,53743,1
107705040,53844,1
107907279,53945,1
108109217,54046,1
108311294,54147,1
108513433,54248,1
108715514,54349,1
108917662,54450,1
109119636,54551,1
109323316,54653,1
109525440,54754,1
109829357,54906,1
110031737,55007,1
110235209,55109,1
110437835,55210,1
110639793,55311,1
110843551,55413,1
111047575,55515,1
111249662,55616,1
111453085,55718,1
111657255,55820,1
111859167,55921,1
112059856,56021,1
112261926,56122,1
112463955,56223,1
112665755,56324,1
112867595,56425,1
113071102,56527,1
113373785,56678,1
113575927,56779,1
113779579,56881,1
113983215,56983,1
114185576,57084,1
114389237,57186,1
114589419,57286,1
114791328,57387,1
114995393,57489,1
115197919,57590,1
115399754,57691,1
