dir,cmd_V,fb_raw,fb_V
dn,10.00,31796,9.936
dn,9.80,31181,9.744
dn,9.60,30566,9.552
dn,9.50,30566,9.552
dn,9.40,29951,9.360
dn,9.20,29335,9.167
dn,9.00,28808,9.002
up,9.20,29375,9.180
up,9.40,29951,9.360
up,9.50,30390,9.497
up,9.60,30390,9.497
up,9.80,31269,9.772
up,10.00,31802,9.938
